"State","District","Crop","Season","Area-2024-25","Production-2024-25","Yield-2024-25"
"Andaman And Nicobar Islands","Nicobars","Rice","Kharif","0.00","0.00","735.00"
"Andaman And Nicobar Islands","Nicobars","Rice","Total","0.00","0.00","735.00"
"Andaman And Nicobar Islands","Nicobars","Cereals","Kharif","0.00","0.00","735.00"
"Andaman And Nicobar Islands","Nicobars","Cereals","Total","0.00","0.00","735.00"
"Andaman And Nicobar Islands","Nicobars","Total Food Grains","Kharif","0.00","0.00","735.00"
"Andaman And Nicobar Islands","Nicobars","Total Food Grains","Total","0.00","0.00","735.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Rice","Kharif","0.04","0.09","2062.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Rice","Total","0.04","0.09","2062.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Maize","Rabi","0.00","0.00","3177.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Maize","Total","0.00","0.00","3177.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Nutri/Coarse Cereals","Rabi","0.00","0.00","3177.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Nutri/Coarse Cereals","Total","0.00","0.00","3177.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Cereals","Kharif","0.04","0.09","2062.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Cereals","Rabi","0.00","0.00","3177.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Cereals","Total","0.04","0.09","2064.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Urad","Rabi","0.00","0.00","338.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Urad","Total","0.00","0.00","338.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Moong","Rabi","0.00","0.00","355.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Moong","Total","0.00","0.00","355.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Pulses","Total","0.01","0.00","347.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Food Grains","Kharif","0.04","0.09","2062.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Food Grains","Rabi","0.01","0.00","378.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Food Grains","Total","0.05","0.09","1805.00"
"Andaman And Nicobar Islands","South Andamans","Rice","Kharif","0.00","0.00","1889.00"
"Andaman And Nicobar Islands","South Andamans","Rice","Total","0.00","0.00","1889.00"
"Andaman And Nicobar Islands","South Andamans","Maize","Rabi","0.00","0.00","387.00"
"Andaman And Nicobar Islands","South Andamans","Maize","Total","0.00","0.00","387.00"
"Andaman And Nicobar Islands","South Andamans","Nutri/Coarse Cereals","Rabi","0.00","0.00","387.00"
"Andaman And Nicobar Islands","South Andamans","Nutri/Coarse Cereals","Total","0.00","0.00","387.00"
"Andaman And Nicobar Islands","South Andamans","Cereals","Kharif","0.00","0.00","1889.00"
"Andaman And Nicobar Islands","South Andamans","Cereals","Rabi","0.00","0.00","387.00"
"Andaman And Nicobar Islands","South Andamans","Cereals","Total","0.00","0.00","1644.00"
"Andaman And Nicobar Islands","South Andamans","Total Food Grains","Kharif","0.00","0.00","1889.00"
"Andaman And Nicobar Islands","South Andamans","Total Food Grains","Rabi","0.00","0.00","387.00"
"Andaman And Nicobar Islands","South Andamans","Total Food Grains","Total","0.00","0.00","1644.00"
"Andhra Pradesh","Alluri Sitharama Raju","Rice","Kharif","0.56","1.76","3155.00"
"Andhra Pradesh","Alluri Sitharama Raju","Rice","Rabi","0.01","0.04","2917.00"
"Andhra Pradesh","Alluri Sitharama Raju","Rice","Total","0.57","1.79","3150.00"
"Andhra Pradesh","Alluri Sitharama Raju","Maize","Kharif","0.02","0.05","2535.00"
"Andhra Pradesh","Alluri Sitharama Raju","Maize","Rabi","0.01","0.03","6125.00"
"Andhra Pradesh","Alluri Sitharama Raju","Maize","Total","0.02","0.08","3333.00"
"Andhra Pradesh","Alluri Sitharama Raju","Jowar","Kharif","0.00","0.00","437.00"
"Andhra Pradesh","Alluri Sitharama Raju","Jowar","Rabi","0.00","0.01","6690.00"
"Andhra Pradesh","Alluri Sitharama Raju","Jowar","Total","0.00","0.01","3809.00"
"Andhra Pradesh","Alluri Sitharama Raju","Bajra","Kharif","0.00","0.00","2551.00"
"Andhra Pradesh","Alluri Sitharama Raju","Bajra","Total","0.00","0.00","2551.00"
"Andhra Pradesh","Alluri Sitharama Raju","Ragi","Kharif","0.14","0.19","1317.00"
"Andhra Pradesh","Alluri Sitharama Raju","Ragi","Total","0.14","0.19","1317.00"
"Andhra Pradesh","Alluri Sitharama Raju","Small Millets","Kharif","0.03","0.01","485.00"
"Andhra Pradesh","Alluri Sitharama Raju","Small Millets","Total","0.03","0.01","485.00"
"Andhra Pradesh","Alluri Sitharama Raju","Shree Anna /Nutri Cereals","Kharif","0.17","0.20","1182.00"
"Andhra Pradesh","Alluri Sitharama Raju","Shree Anna /Nutri Cereals","Rabi","0.00","0.01","6690.00"
"Andhra Pradesh","Alluri Sitharama Raju","Shree Anna /Nutri Cereals","Total","0.17","0.21","1211.00"
"Andhra Pradesh","Alluri Sitharama Raju","Nutri/Coarse Cereals","Kharif","0.19","0.25","1313.00"
"Andhra Pradesh","Alluri Sitharama Raju","Nutri/Coarse Cereals","Rabi","0.01","0.04","6209.00"
"Andhra Pradesh","Alluri Sitharama Raju","Nutri/Coarse Cereals","Total","0.19","0.28","1467.00"
"Andhra Pradesh","Alluri Sitharama Raju","Cereals","Kharif","0.74","2.00","2691.00"
"Andhra Pradesh","Alluri Sitharama Raju","Cereals","Rabi","0.02","0.07","4003.00"
"Andhra Pradesh","Alluri Sitharama Raju","Cereals","Total","0.76","2.08","2722.00"
"Andhra Pradesh","Alluri Sitharama Raju","Tur","Kharif","0.00","0.00","402.00"
"Andhra Pradesh","Alluri Sitharama Raju","Tur","Total","0.00","0.00","402.00"
"Andhra Pradesh","Alluri Sitharama Raju","Urad","Kharif","0.00","0.00","876.00"
"Andhra Pradesh","Alluri Sitharama Raju","Urad","Rabi","0.02","0.02","916.00"
"Andhra Pradesh","Alluri Sitharama Raju","Urad","Total","0.03","0.02","914.00"
"Andhra Pradesh","Alluri Sitharama Raju","Moong","Kharif","0.00","0.00","451.00"
"Andhra Pradesh","Alluri Sitharama Raju","Moong","Rabi","0.00","0.00","965.00"
"Andhra Pradesh","Alluri Sitharama Raju","Moong","Total","0.00","0.00","949.00"
"Andhra Pradesh","Alluri Sitharama Raju","Other Pulses","Kharif","0.00","0.00","900.00"
"Andhra Pradesh","Alluri Sitharama Raju","Other Pulses","Rabi","0.10","0.09","871.00"
"Andhra Pradesh","Alluri Sitharama Raju","Other Pulses","Total","0.10","0.09","871.00"
"Andhra Pradesh","Alluri Sitharama Raju","Total Pulses","Total","0.13","0.11","874.00"
"Andhra Pradesh","Alluri Sitharama Raju","Total Food Grains","Kharif","0.75","2.01","2680.00"
"Andhra Pradesh","Alluri Sitharama Raju","Total Food Grains","Rabi","0.14","0.19","1282.00"
"Andhra Pradesh","Alluri Sitharama Raju","Total Food Grains","Total","0.89","2.19","2454.00"
"Andhra Pradesh","Anakapalli","Rice","Kharif","0.56","1.78","3164.00"
"Andhra Pradesh","Anakapalli","Rice","Rabi","0.01","0.04","3126.00"
"Andhra Pradesh","Anakapalli","Rice","Total","0.58","1.82","3163.00"
"Andhra Pradesh","Anakapalli","Maize","Kharif","0.00","0.00","4586.00"
"Andhra Pradesh","Anakapalli","Maize","Rabi","0.00","0.00","8619.00"
"Andhra Pradesh","Anakapalli","Maize","Total","0.00","0.01","7153.00"
"Andhra Pradesh","Anakapalli","Bajra","Kharif","0.01","0.01","1101.00"
"Andhra Pradesh","Anakapalli","Bajra","Total","0.01","0.01","1101.00"
"Andhra Pradesh","Anakapalli","Ragi","Kharif","0.00","0.00","1881.00"
"Andhra Pradesh","Anakapalli","Ragi","Total","0.00","0.00","1881.00"
"Andhra Pradesh","Anakapalli","Shree Anna /Nutri Cereals","Kharif","0.01","0.01","1131.00"
"Andhra Pradesh","Anakapalli","Shree Anna /Nutri Cereals","Total","0.01","0.01","1131.00"
"Andhra Pradesh","Anakapalli","Nutri/Coarse Cereals","Kharif","0.01","0.01","1251.00"
"Andhra Pradesh","Anakapalli","Nutri/Coarse Cereals","Rabi","0.00","0.00","8619.00"
"Andhra Pradesh","Anakapalli","Nutri/Coarse Cereals","Total","0.01","0.01","1675.00"
"Andhra Pradesh","Anakapalli","Cereals","Kharif","0.57","1.79","3137.00"
"Andhra Pradesh","Anakapalli","Cereals","Rabi","0.01","0.04","3333.00"
"Andhra Pradesh","Anakapalli","Cereals","Total","0.59","1.84","3141.00"
"Andhra Pradesh","Anakapalli","Tur","Kharif","0.00","0.00","735.00"
"Andhra Pradesh","Anakapalli","Tur","Total","0.00","0.00","735.00"
"Andhra Pradesh","Anakapalli","Urad","Kharif","0.00","0.00","990.00"
"Andhra Pradesh","Anakapalli","Urad","Rabi","0.09","0.06","692.00"
"Andhra Pradesh","Anakapalli","Urad","Total","0.09","0.06","700.00"
"Andhra Pradesh","Anakapalli","Moong","Kharif","0.00","0.00","451.00"
"Andhra Pradesh","Anakapalli","Moong","Rabi","0.03","0.02","624.00"
"Andhra Pradesh","Anakapalli","Moong","Total","0.03","0.02","616.00"
"Andhra Pradesh","Anakapalli","Other Pulses","Kharif","0.00","0.00","900.00"
"Andhra Pradesh","Anakapalli","Other Pulses","Rabi","0.00","0.00","558.00"
"Andhra Pradesh","Anakapalli","Other Pulses","Total","0.00","0.00","640.00"
"Andhra Pradesh","Anakapalli","Total Pulses","Total","0.13","0.09","677.00"
"Andhra Pradesh","Anakapalli","Total Food Grains","Kharif","0.58","1.80","3116.00"
"Andhra Pradesh","Anakapalli","Total Food Grains","Rabi","0.14","0.13","924.00"
"Andhra Pradesh","Anakapalli","Total Food Grains","Total","0.71","1.93","2695.00"
"Andhra Pradesh","Ananthapuramu","Rice","Kharif","0.22","0.74","3431.00"
"Andhra Pradesh","Ananthapuramu","Rice","Rabi","0.05","0.13","2789.00"
"Andhra Pradesh","Ananthapuramu","Rice","Total","0.26","0.87","3317.00"
"Andhra Pradesh","Ananthapuramu","Maize","Kharif","0.20","1.00","5006.00"
"Andhra Pradesh","Ananthapuramu","Maize","Rabi","0.07","0.38","5655.00"
"Andhra Pradesh","Ananthapuramu","Maize","Total","0.27","1.38","5171.00"
"Andhra Pradesh","Ananthapuramu","Jowar","Kharif","0.02","0.01","255.00"
"Andhra Pradesh","Ananthapuramu","Jowar","Rabi","0.06","0.07","1101.00"
"Andhra Pradesh","Ananthapuramu","Jowar","Total","0.08","0.07","884.00"
"Andhra Pradesh","Ananthapuramu","Bajra","Kharif","0.03","0.04","1340.00"
"Andhra Pradesh","Ananthapuramu","Bajra","Summer","0.00","0.00","2215.00"
"Andhra Pradesh","Ananthapuramu","Bajra","Total","0.03","0.04","1343.00"
"Andhra Pradesh","Ananthapuramu","Ragi","Kharif","0.00","0.00","1339.00"
"Andhra Pradesh","Ananthapuramu","Ragi","Total","0.00","0.00","1339.00"
"Andhra Pradesh","Ananthapuramu","Small Millets","Kharif","0.09","0.09","899.00"
"Andhra Pradesh","Ananthapuramu","Small Millets","Total","0.09","0.09","899.00"
"Andhra Pradesh","Ananthapuramu","Shree Anna /Nutri Cereals","Kharif","0.15","0.13","902.00"
"Andhra Pradesh","Ananthapuramu","Shree Anna /Nutri Cereals","Rabi","0.06","0.07","1101.00"
"Andhra Pradesh","Ananthapuramu","Shree Anna /Nutri Cereals","Summer","0.00","0.00","2215.00"
"Andhra Pradesh","Ananthapuramu","Shree Anna /Nutri Cereals","Total","0.21","0.20","962.00"
"Andhra Pradesh","Ananthapuramu","Nutri/Coarse Cereals","Kharif","0.35","1.13","3250.00"
"Andhra Pradesh","Ananthapuramu","Nutri/Coarse Cereals","Rabi","0.13","0.45","3463.00"
"Andhra Pradesh","Ananthapuramu","Nutri/Coarse Cereals","Summer","0.00","0.00","2215.00"
"Andhra Pradesh","Ananthapuramu","Nutri/Coarse Cereals","Total","0.48","1.59","3308.00"
"Andhra Pradesh","Ananthapuramu","Cereals","Kharif","0.56","1.88","3319.00"
"Andhra Pradesh","Ananthapuramu","Cereals","Rabi","0.18","0.58","3286.00"
"Andhra Pradesh","Ananthapuramu","Cereals","Summer","0.00","0.00","2215.00"
"Andhra Pradesh","Ananthapuramu","Cereals","Total","0.74","2.46","3311.00"
"Andhra Pradesh","Ananthapuramu","Tur","Kharif","1.03","0.16","155.00"
"Andhra Pradesh","Ananthapuramu","Tur","Total","1.03","0.16","155.00"
"Andhra Pradesh","Ananthapuramu","Gram","Rabi","0.50","0.28","555.00"
"Andhra Pradesh","Ananthapuramu","Gram","Total","0.50","0.28","555.00"
"Andhra Pradesh","Ananthapuramu","Urad","Kharif","0.00","0.00","771.00"
"Andhra Pradesh","Ananthapuramu","Urad","Rabi","0.00","0.00","512.00"
"Andhra Pradesh","Ananthapuramu","Urad","Total","0.01","0.00","711.00"
"Andhra Pradesh","Ananthapuramu","Moong","Kharif","0.00","0.00","309.00"
"Andhra Pradesh","Ananthapuramu","Moong","Rabi","0.00","0.00","411.00"
"Andhra Pradesh","Ananthapuramu","Moong","Total","0.01","0.00","352.00"
"Andhra Pradesh","Ananthapuramu","Other Pulses","Kharif","0.02","0.01","318.00"
"Andhra Pradesh","Ananthapuramu","Other Pulses","Rabi","0.03","0.01","384.00"
"Andhra Pradesh","Ananthapuramu","Other Pulses","Total","0.05","0.02","355.00"
"Andhra Pradesh","Ananthapuramu","Total Pulses","Total","1.60","0.46","290.00"
"Andhra Pradesh","Ananthapuramu","Total Food Grains","Kharif","1.63","2.05","1254.00"
"Andhra Pradesh","Ananthapuramu","Total Food Grains","Rabi","0.71","0.88","1227.00"
"Andhra Pradesh","Ananthapuramu","Total Food Grains","Summer","0.00","0.00","2215.00"
"Andhra Pradesh","Ananthapuramu","Total Food Grains","Total","2.35","2.92","1246.00"
"Andhra Pradesh","Annamayya","Rice","Kharif","0.10","0.37","3681.00"
"Andhra Pradesh","Annamayya","Rice","Rabi","0.02","0.07","3487.00"
"Andhra Pradesh","Annamayya","Rice","Total","0.12","0.44","3649.00"
"Andhra Pradesh","Annamayya","Maize","Kharif","0.03","0.16","6375.00"
"Andhra Pradesh","Annamayya","Maize","Rabi","0.00","0.02","7891.00"
"Andhra Pradesh","Annamayya","Maize","Total","0.03","0.18","6542.00"
"Andhra Pradesh","Annamayya","Jowar","Kharif","0.00","0.00","437.00"
"Andhra Pradesh","Annamayya","Jowar","Rabi","0.00","0.00","2108.00"
"Andhra Pradesh","Annamayya","Jowar","Total","0.00","0.00","1608.00"
"Andhra Pradesh","Annamayya","Bajra","Kharif","0.00","0.01","2215.00"
"Andhra Pradesh","Annamayya","Bajra","Total","0.00","0.01","2215.00"
"Andhra Pradesh","Annamayya","Ragi","Kharif","0.00","0.00","2336.00"
"Andhra Pradesh","Annamayya","Ragi","Total","0.00","0.00","2336.00"
"Andhra Pradesh","Annamayya","Small Millets","Kharif","0.00","0.00","640.00"
"Andhra Pradesh","Annamayya","Small Millets","Total","0.00","0.00","640.00"
"Andhra Pradesh","Annamayya","Shree Anna /Nutri Cereals","Kharif","0.01","0.01","2179.00"
"Andhra Pradesh","Annamayya","Shree Anna /Nutri Cereals","Rabi","0.00","0.00","2108.00"
"Andhra Pradesh","Annamayya","Shree Anna /Nutri Cereals","Total","0.01","0.01","2177.00"
"Andhra Pradesh","Annamayya","Nutri/Coarse Cereals","Kharif","0.03","0.17","5575.00"
"Andhra Pradesh","Annamayya","Nutri/Coarse Cereals","Rabi","0.00","0.02","7559.00"
"Andhra Pradesh","Annamayya","Nutri/Coarse Cereals","Total","0.03","0.20","5766.00"
"Andhra Pradesh","Annamayya","Cereals","Kharif","0.13","0.54","4128.00"
"Andhra Pradesh","Annamayya","Cereals","Rabi","0.02","0.10","4053.00"
"Andhra Pradesh","Annamayya","Cereals","Total","0.15","0.64","4116.00"
"Andhra Pradesh","Annamayya","Tur","Kharif","0.01","0.00","268.00"
"Andhra Pradesh","Annamayya","Tur","Total","0.01","0.00","268.00"
"Andhra Pradesh","Annamayya","Gram","Rabi","0.00","0.00","879.00"
"Andhra Pradesh","Annamayya","Gram","Total","0.00","0.00","879.00"
"Andhra Pradesh","Annamayya","Urad","Kharif","0.00","0.00","771.00"
"Andhra Pradesh","Annamayya","Urad","Rabi","0.00","0.00","865.00"
"Andhra Pradesh","Annamayya","Urad","Total","0.00","0.00","850.00"
"Andhra Pradesh","Annamayya","Moong","Kharif","0.00","0.00","457.00"
"Andhra Pradesh","Annamayya","Moong","Rabi","0.00","0.00","668.00"
"Andhra Pradesh","Annamayya","Moong","Total","0.00","0.00","639.00"
"Andhra Pradesh","Annamayya","Other Pulses","Kharif","0.01","0.01","1290.00"
"Andhra Pradesh","Annamayya","Other Pulses","Rabi","0.37","0.25","684.00"
"Andhra Pradesh","Annamayya","Other Pulses","Total","0.38","0.26","698.00"
"Andhra Pradesh","Annamayya","Total Pulses","Total","0.39","0.27","690.00"
"Andhra Pradesh","Annamayya","Total Food Grains","Kharif","0.15","0.56","3736.00"
"Andhra Pradesh","Annamayya","Total Food Grains","Rabi","0.39","0.35","887.00"
"Andhra Pradesh","Annamayya","Total Food Grains","Total","0.54","0.90","1666.00"
"Andhra Pradesh","Bapatla","Rice","Kharif","0.88","3.23","3651.00"
"Andhra Pradesh","Bapatla","Rice","Rabi","0.14","0.52","3745.00"
"Andhra Pradesh","Bapatla","Rice","Total","1.02","3.75","3664.00"
"Andhra Pradesh","Bapatla","Maize","Kharif","0.02","0.10","5253.00"
"Andhra Pradesh","Bapatla","Maize","Rabi","0.24","2.11","8733.00"
"Andhra Pradesh","Bapatla","Maize","Total","0.26","2.21","8476.00"
"Andhra Pradesh","Bapatla","Jowar","Kharif","0.00","0.00","437.00"
"Andhra Pradesh","Bapatla","Jowar","Rabi","0.07","0.51","6919.00"
"Andhra Pradesh","Bapatla","Jowar","Total","0.07","0.51","6911.00"
"Andhra Pradesh","Bapatla","Bajra","Kharif","0.00","0.00","2551.00"
"Andhra Pradesh","Bapatla","Bajra","Total","0.00","0.00","2551.00"
"Andhra Pradesh","Bapatla","Ragi","Kharif","0.00","0.00","1995.00"
"Andhra Pradesh","Bapatla","Ragi","Total","0.00","0.00","1995.00"
"Andhra Pradesh","Bapatla","Small Millets","Kharif","0.00","0.00","1811.00"
"Andhra Pradesh","Bapatla","Small Millets","Total","0.00","0.00","1811.00"
"Andhra Pradesh","Bapatla","Shree Anna /Nutri Cereals","Kharif","0.00","0.01","2200.00"
"Andhra Pradesh","Bapatla","Shree Anna /Nutri Cereals","Rabi","0.07","0.51","6919.00"
"Andhra Pradesh","Bapatla","Shree Anna /Nutri Cereals","Total","0.08","0.52","6739.00"
"Andhra Pradesh","Bapatla","Nutri/Coarse Cereals","Kharif","0.02","0.11","4853.00"
"Andhra Pradesh","Bapatla","Nutri/Coarse Cereals","Rabi","0.32","2.62","8309.00"
"Andhra Pradesh","Bapatla","Nutri/Coarse Cereals","Total","0.34","2.73","8082.00"
"Andhra Pradesh","Bapatla","Cereals","Kharif","0.91","3.33","3681.00"
"Andhra Pradesh","Bapatla","Cereals","Rabi","0.45","3.14","6916.00"
"Andhra Pradesh","Bapatla","Cereals","Total","1.36","6.47","4760.00"
"Andhra Pradesh","Bapatla","Tur","Kharif","0.01","0.01","953.00"
"Andhra Pradesh","Bapatla","Tur","Total","0.01","0.01","953.00"
"Andhra Pradesh","Bapatla","Gram","Rabi","0.16","0.30","1917.00"
"Andhra Pradesh","Bapatla","Gram","Total","0.16","0.30","1917.00"
"Andhra Pradesh","Bapatla","Urad","Kharif","0.03","0.01","397.00"
"Andhra Pradesh","Bapatla","Urad","Rabi","0.29","0.42","1445.00"
"Andhra Pradesh","Bapatla","Urad","Total","0.32","0.43","1355.00"
"Andhra Pradesh","Bapatla","Moong","Kharif","0.00","0.00","451.00"
"Andhra Pradesh","Bapatla","Moong","Rabi","0.08","0.11","1349.00"
"Andhra Pradesh","Bapatla","Moong","Total","0.08","0.11","1346.00"
"Andhra Pradesh","Bapatla","Other Pulses","Kharif","0.00","0.00","900.00"
"Andhra Pradesh","Bapatla","Other Pulses","Rabi","0.00","0.00","996.00"
"Andhra Pradesh","Bapatla","Other Pulses","Total","0.00","0.00","979.00"
"Andhra Pradesh","Bapatla","Total Pulses","Total","0.57","0.86","1500.00"
"Andhra Pradesh","Bapatla","Total Food Grains","Kharif","0.94","3.36","3552.00"
"Andhra Pradesh","Bapatla","Total Food Grains","Rabi","0.99","3.97","4031.00"
"Andhra Pradesh","Bapatla","Total Food Grains","Total","1.93","7.33","3797.00"
"Andhra Pradesh","Chittoor","Rice","Kharif","0.11","0.42","3783.00"
"Andhra Pradesh","Chittoor","Rice","Rabi","0.06","0.21","3237.00"
"Andhra Pradesh","Chittoor","Rice","Total","0.17","0.63","3581.00"
"Andhra Pradesh","Chittoor","Maize","Kharif","0.00","0.03","7300.00"
"Andhra Pradesh","Chittoor","Maize","Rabi","0.00","0.01","6361.00"
"Andhra Pradesh","Chittoor","Maize","Total","0.01","0.04","7034.00"
"Andhra Pradesh","Chittoor","Jowar","Kharif","0.00","0.00","437.00"
"Andhra Pradesh","Chittoor","Jowar","Rabi","0.00","0.00","2108.00"
"Andhra Pradesh","Chittoor","Jowar","Total","0.00","0.00","621.00"
"Andhra Pradesh","Chittoor","Bajra","Kharif","0.01","0.01","2215.00"
"Andhra Pradesh","Chittoor","Bajra","Total","0.01","0.01","2215.00"
"Andhra Pradesh","Chittoor","Ragi","Kharif","0.01","0.01","1485.00"
"Andhra Pradesh","Chittoor","Ragi","Total","0.01","0.01","1485.00"
"Andhra Pradesh","Chittoor","Small Millets","Kharif","0.00","0.00","488.00"
"Andhra Pradesh","Chittoor","Small Millets","Total","0.00","0.00","488.00"
"Andhra Pradesh","Chittoor","Shree Anna /Nutri Cereals","Kharif","0.02","0.03","1641.00"
"Andhra Pradesh","Chittoor","Shree Anna /Nutri Cereals","Rabi","0.00","0.00","2108.00"
"Andhra Pradesh","Chittoor","Shree Anna /Nutri Cereals","Total","0.02","0.03","1642.00"
"Andhra Pradesh","Chittoor","Nutri/Coarse Cereals","Kharif","0.02","0.06","2611.00"
"Andhra Pradesh","Chittoor","Nutri/Coarse Cereals","Rabi","0.00","0.01","6304.00"
"Andhra Pradesh","Chittoor","Nutri/Coarse Cereals","Total","0.02","0.07","2849.00"
"Andhra Pradesh","Chittoor","Cereals","Kharif","0.13","0.47","3592.00"
"Andhra Pradesh","Chittoor","Cereals","Rabi","0.07","0.22","3305.00"
"Andhra Pradesh","Chittoor","Cereals","Total","0.20","0.69","3496.00"
"Andhra Pradesh","Chittoor","Tur","Kharif","0.00","0.00","259.00"
"Andhra Pradesh","Chittoor","Tur","Total","0.00","0.00","259.00"
"Andhra Pradesh","Chittoor","Urad","Kharif","0.00","0.00","771.00"
"Andhra Pradesh","Chittoor","Urad","Rabi","0.00","0.00","992.00"
"Andhra Pradesh","Chittoor","Urad","Total","0.00","0.00","973.00"
"Andhra Pradesh","Chittoor","Moong","Kharif","0.00","0.00","457.00"
"Andhra Pradesh","Chittoor","Moong","Rabi","0.00","0.00","668.00"
"Andhra Pradesh","Chittoor","Moong","Total","0.00","0.00","573.00"
"Andhra Pradesh","Chittoor","Other Pulses","Kharif","0.01","0.01","752.00"
"Andhra Pradesh","Chittoor","Other Pulses","Rabi","0.14","0.09","609.00"
"Andhra Pradesh","Chittoor","Other Pulses","Total","0.16","0.10","622.00"
"Andhra Pradesh","Chittoor","Total Pulses","Total","0.16","0.10","623.00"
"Andhra Pradesh","Chittoor","Total Food Grains","Kharif","0.15","0.49","3229.00"
"Andhra Pradesh","Chittoor","Total Food Grains","Rabi","0.21","0.31","1457.00"
"Andhra Pradesh","Chittoor","Total Food Grains","Total","0.36","0.79","2192.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Rice","Kharif","0.64","2.05","3210.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Rice","Rabi","0.68","3.59","5317.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Rice","Total","1.31","5.64","4292.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Maize","Rabi","0.01","0.08","8572.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Maize","Total","0.01","0.08","8572.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Nutri/Coarse Cereals","Rabi","0.01","0.08","8572.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Nutri/Coarse Cereals","Total","0.01","0.08","8572.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Cereals","Kharif","0.64","2.05","3210.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Cereals","Rabi","0.68","3.67","5359.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Cereals","Total","1.32","5.72","4321.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Urad","Rabi","0.01","0.00","408.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Urad","Total","0.01","0.00","408.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Moong","Rabi","0.01","0.01","965.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Moong","Total","0.01","0.01","965.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Total Pulses","Total","0.01","0.01","738.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Total Food Grains","Kharif","0.64","2.05","3210.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Total Food Grains","Rabi","0.70","3.68","5277.00"
"Andhra Pradesh","Dr. B.R. Ambedkar Konaseema","Total Food Grains","Total","1.34","5.73","4287.00"
"Andhra Pradesh","East Godavari","Rice","Kharif","0.74","2.70","3656.00"
"Andhra Pradesh","East Godavari","Rice","Rabi","0.60","3.22","5399.00"
"Andhra Pradesh","East Godavari","Rice","Total","1.33","5.92","4435.00"
"Andhra Pradesh","East Godavari","Maize","Kharif","0.00","0.00","4586.00"
"Andhra Pradesh","East Godavari","Maize","Rabi","0.07","0.76","10422.00"
"Andhra Pradesh","East Godavari","Maize","Total","0.07","0.76","10409.00"
"Andhra Pradesh","East Godavari","Jowar","Rabi","0.00","0.00","6690.00"
"Andhra Pradesh","East Godavari","Jowar","Total","0.00","0.00","6690.00"
"Andhra Pradesh","East Godavari","Shree Anna /Nutri Cereals","Rabi","0.00","0.00","6690.00"
"Andhra Pradesh","East Godavari","Shree Anna /Nutri Cereals","Total","0.00","0.00","6690.00"
"Andhra Pradesh","East Godavari","Nutri/Coarse Cereals","Kharif","0.00","0.00","4586.00"
"Andhra Pradesh","East Godavari","Nutri/Coarse Cereals","Rabi","0.07","0.76","10393.00"
"Andhra Pradesh","East Godavari","Nutri/Coarse Cereals","Total","0.07","0.76","10380.00"
"Andhra Pradesh","East Godavari","Cereals","Kharif","0.74","2.70","3656.00"
"Andhra Pradesh","East Godavari","Cereals","Rabi","0.67","3.98","5944.00"
"Andhra Pradesh","East Godavari","Cereals","Total","1.41","6.68","4745.00"
"Andhra Pradesh","East Godavari","Gram","Rabi","0.00","0.01","1692.00"
"Andhra Pradesh","East Godavari","Gram","Total","0.00","0.01","1692.00"
"Andhra Pradesh","East Godavari","Urad","Kharif","0.02","0.03","1463.00"
"Andhra Pradesh","East Godavari","Urad","Rabi","0.00","0.01","1185.00"
"Andhra Pradesh","East Godavari","Urad","Total","0.03","0.04","1414.00"
"Andhra Pradesh","East Godavari","Moong","Kharif","0.00","0.00","451.00"
"Andhra Pradesh","East Godavari","Moong","Rabi","0.00","0.00","965.00"
